match_date,player_id,player_name,team,opponent,venue,season,fantasy_points,runs,balls_faced,fours,sixes,dismissed,duck,wickets,balls_bowled,legal_balls_bowled,runs_conceded,maidens,lbw_bowled,catches,stumpings,runouts
2008-05-03,508a1ea7,SE Marsh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,47,40,32,5,1,True,False,0,0,0,0,0,0,0,0,0
2008-05-03,d18f9182,DPMD Jayawardene,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,12,10,6,0,1,True,False,0,0,0,0,0,0,0,0,0
2008-05-03,a1f1829d,K Goel,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,7,6,7,1,0,True,False,0,0,0,0,0,0,0,0,0
2008-05-03,5fa06777,IK Pathan,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,106,24,26,2,0,False,False,2,25,24,18,0,2,1,0,0
2008-05-03,98ae73b1,PP Chawla,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,26,21,7,3,1,False,False,0,6,6,16,0,0,0,0,0
2008-05-03,6b8eb6e5,S Sreesanth,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,54,0,0,0,0,False,False,2,25,24,25,0,0,0,0,0
2008-05-03,034b4b7d,VRV Singh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,35,0,0,0,0,False,False,1,24,24,31,0,1,0,0,0
2008-05-03,890de8cb,Gagandeep Singh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",2007/08,23,0,0,0,0,False,False,1,24,24,43,0,0,0,0,0
2008-05-03,9ab63e7b,Mohammad Hafeez,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2007/08,41,13,12,1,1,True,False,1,18,18,28,0,0,0,0,0
2008-05-03,7050a1e7,DB Das,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2007/08,12,5,8,1,0,True,False,0,0,0,0,0,0,0,0,1
2008-05-03,b57f8a9a,BJ Hodge,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2007/08,9,1,3,0,0,True,False,0,0,0,0,0,0,1,0,0
2008-05-03,fd835ab3,DJ Hussey,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2007/08,120,71,46,4,4,True,False,1,18,18,23,0,0,0,0,1
